Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Milo,5,Nestlé,100 gr,Bebida en polvo,8000,https://eurosuper.vtexassets.com/arquivos/ids/177415/7702024069676.jpg
Casa luker sol tradicional,1,Casa Luker,"31,25 g",Chocolate,4500,https://www.casaluker.com/wp-content/uploads/2023/08/SOL-TRADICIONAL.png
Casa luker sol cocoa,5,Casa Luker,400 g,Cocoa,25000,https://carulla.vtexassets.com/arquivos/ids/19600049/Chocolate-SOL-Pastillas-De-Cocoa-400-gr-3631704_a.jpg
Casa luker quesada vainilla,6,Casa Luker,250 g,Chocolate,15000,https://www.casaluker.com/wp-content/uploads/2024/02/QUESADA-VAINILLA.png
Casa luker quesada clavos y canela,2,Casa Luker,250 g,Chocolate,15000,https://www.casaluker.com/wp-content/uploads/2024/02/QUESADA-CYC.png
Casa luker quesada tradicional,10,Casa Luker,400 g,Chocolate,22000,https://www.casaluker.com/wp-content/uploads/2024/02/QUESADA-TRADICIONAL-1.png
Superlider clavos y canela,1,Superlider,500 g,Chocolate,28000,https://olimpica.vtexassets.com/arquivos/ids/1785423/7702007043426_2.png
Chocolate corona tradicional,7,Chocolate Corona,28 g,Chocolate,3800,https://villavoexpress.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjI3NDksInB1ciI6ImJsb2JfaWQifX0=--3863e30da9fb1f4ebe4e5d365224a811b75caae5/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/chocolate-corona-tradicional-pastillas-individuales-500gr.jpg
Luker cocoa premium,8,Luker,100 g,Cocoa,8500,https://vaquitaexpress.com.co/media/catalog/product/cache/20550c7acf32f3e8f4083358cffff538/7/7/7702088191986_30.jpg
Luker tradicional,6,Luker,224 g,Chocolate,18000,https://exitocol.vtexassets.com/arquivos/ids/26681918/Chocolate-LUKER-Amargo-224-gr-3624959_a.jpg
Superlider tradicional,2,Superlider,31 g,Chocolate,4200,https://ibassets.com.br/ib.item.image.large/l-20b9862e71b84567bbe9642702184138.png
Chocolate la especial tradicional,5,La Especial,25 g,Chocolate,3500,https://cnutresa.vtexassets.com/arquivos/ids/164406/1075742-7702007082654_Chocolate-Tradicional-La-Especial.png
Mentas xtime,1,Xtime,310 g (100 unidades),Golosinas,22000,https://carulla.vteximg.com.br/arquivos/ids/19566678/Dulces-Mentas-XTIME-310-gr-3322686_a.jpg
Colombina caramelos dulce duro,8,Colombina,350 g (100 unidades),Golosinas,18000,https://exitocol.vtexassets.com/arquivos/ids/26646011/Banana-Ext-X-100-Und-Envoltura-COLOMBINA-350-gr-759009_a.jpg
Bombazo chicle bomba,10,Bombazo,250 g (50 unidades),Golosinas,12000,https://www.confitiendas.com/wp-content/uploads/2022/03/10923_202101200013089041955.jpeg
Caramelo de café,4,Colombina,420 g (100 unidades),Golosinas,20000,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011001764_A1N1_es.jpg
Max flutacidas caramelo blanco,9,Max flutacidas,430 g (100 unidades),Golosinas,20500,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011028761_A1N1_es.jpg
Mordisquetas chupeta masticable,1,Mordisquetas,336 g (24 unidades),Golosinas,16000,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011086792_A1N1_es.jpg
Aldor mangoos,3,Aldor,288 g (48 unidades),Golosinas,15000,https://fudigo.com.co/cdn/shop/files/Chupetoon-Bolsa-48-unidades-Mango-Aldor_1024x1024.jpg
Mentolados menthol mist,2,Mentolados,350 g (100 unidades),Golosinas,18500,https://urielcavzla.com/wp-content/uploads/2023/05/mentolados-mist_Mesa-de-trabajo-1.jpg
Supercoco,5,Supercoco,360 g (24 unidades),Golosinas,18000,https://exitocol.vteximg.com.br/arquivos/ids/26634614/Bombom-Supercoco-478462_a.jpg
Mordisquetas chupeta masticable ron con pasas,1,Mordisquetas,336 g (24 unidades),Golosinas,16000,https://www.eqco.com.co/wp-content/uploads/2024/09/colombina-91-600x600.jpg
Mordisquetas chupeta masticable cookies y cream,10,Mordisquetas,336 g (24 unidades),Golosinas,16000,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011137272_A1N1_es.jpg
Barrilete,3,Colombina,440 g (40 unidades),Golosinas,22000,https://dulceria.co/wp-content/uploads/2020/10/barrilete.jpg
Bon bon bum,1,Colombina,456 g (24 unidades),Golosinas,20000,"https://static.wixstatic.com/media/aca4ac_9fe35c10c5e94d9a80180777eccac176~mv2.png/v1/fill/w_520,h_520,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/aca4ac_9fe35c10c5e94d9a80180777eccac176~mv2.png"
Supercoco turrón,7,Supercoco,500 g (100 unidades),Golosinas,35000,https://carulla.vteximg.com.br/arquivos/ids/19548939/Turron-Supercoco-Paquete-X-50-Und-Cu-98557_a.jpg
Labios rojos,1,DOT,480 g (40 paletas),Golosinas,24000,https://dulceriascandy.com/candyimg/7503018214023.jpg
Tipitin,5,Colombina,360 g (40 paletas),Golosinas,18000,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011020956_A1N1_es.jpg
Choco stop,6,Triunfo,180 g (30 unidades),Golosinas,12000,https://www.casaluker.com/wp-content/uploads/2024/04/Banner-Descripcion_Choco-Stop.png
